AREA,PERIMETER,MAJOR_AXIS,MINOR_AXIS,ECCENTRICITY,ROUNDNESS,COMPACTNESS,Class
422163,2378.908,837.8484,645.6693,0.6373,0.9374,0.875,0
338136,2085.144,723.8198,595.2073,0.569,0.9773,0.9065,0
526843,2647.394,940.7379,715.3638,0.6494,0.9446,0.8706,0
416063,2351.21,827.9804,645.2988,0.6266,0.9458,0.8791,0
347562,2160.354,763.9877,582.8359,0.6465,0.9358,0.8707,0
408953,2326.6931,840.1821,622.0076,0.6722,0.9493,0.8589,0
451414,2457.208,889.3253,652.4316,0.6796,0.9395,0.8525,0
382636,2275.7791,808.0833,609.2819,0.6569,0.9284,0.8638,0
546063,2714.948,916.3737,766.4536,0.5481,0.931,0.9099,0
420044,2391.123,836.928,645.1822,0.637,0.9232,0.8738,0
364495,2216.49,790.9014,590.7698,0.6649,0.9323,0.8613,0
404243,2345.5349,823.7634,628.8527,0.6459,0.9234,0.8709,0
407789,2308.4099,788.727,664.5451,0.5386,0.9617,0.9136,0
340451,2098.1631,724.4111,600.3284,0.5597,0.9718,0.9089,0
467092,2514.2429,895.3616,669.6182,0.6638,0.9285,0.8613,0
386374,2265.666,826.3535,597.2911,0.6911,0.9459,0.8488,0
413069,2350.4109,821.2114,645.8047,0.6177,0.9396,0.8831,0
396792,2291.0701,790.0845,644.6891,0.5781,0.9499,0.8996,0
358545,2199.5081,775.7432,593.731,0.6436,0.9313,0.871,0
397744,2337.2251,869.5142,583.949,0.7409,0.915,0.8184,0
398901,2299.335,812.7031,628.3113,0.6343,0.9481,0.8769,0
342155,2151.896,760.6585,575.3604,0.6541,0.9285,0.8677,0
408220,2317.6689,769.1027,681.1285,0.4644,0.955,0.9374,0
306560,2015.198,715.4261,547.121,0.6443,0.9486,0.8733,0
354590,2181.739,772.2312,587.454,0.6491,0.9361,0.8701,0
381508,2239.7891,734.2203,666.2502,0.4202,0.9557,0.9492,0
