Temperature,Humidity,Light,CO2,Humidity ratio,type
23.7,26.272,585.2,749.2,0.004764163,0
23.718,26.29,578.4,760.4,0.004772661,0
23.73,26.23,572.6666667,769.6666667,0.004765153,0
23.7225,26.125,493.75,774.75,0.004743773,0
23.754,26.2,488.6,779,0.004766594,0
23.76,26.26,568.6666667,790,0.004779332,0
23.73,26.29,536.3333333,798,0.004776136,0
23.754,26.29,509,797,0.004783094,0
23.754,26.35,476,803.2,0.004794094,0
23.736,26.39,510,809,0.004796189,0
23.745,26.445,481.5,815.25,0.004808886,0
23.7,26.56,481.8,824,0.004816793,0
23.7,26.6,475.25,832,0.004824104,0
23.7,26.7,469,845.3333333,0.004842381,0
23.7,26.774,464,852.4,0.004855906,0
23.7,26.89,464,861,0.00487711,0
23.7,26.9725,455,880,0.004892191,0
23.6,26.89,454,891,0.004847594,0
23.64,26.976,458,897.6,0.004875045,0
23.65,27.05,464,900.5,0.004891492,0
23.64,27.1,473,908.8,0.00489763,0
23.6,27.16,464,918,0.004896652,0
23.6,27.236,498.4,925.2,0.004910462,0
23.6,27.29,530.2,929.4,0.004920275,0
23.6,27.33,533.6,936.4,0.004927544,0
23.6,27.34,524.25,950,0.004929361,0
23.625,27.3925,498.6666667,961,0.004946406,0
23.6,27.39,516.3333333,963,0.004938448,0
23.6,27.412,501.2,958.6,0.004942446,0
23.6,27.5,522,965.3333333,0.004958439,0
23.6,27.525,520.5,979.25,0.004962982,0
23.6,27.6,505.2857143,978.4285714,0.004976614,0
23.6,27.6,488.3333333,983,0.004976614,0
23.6,27.54,512,992.6,0.004965709,0
23.6,27.6,511,997.2,0.004976614,0
23.61666667,27.63333333,501.5,999.5,0.004987718,0
23.66666667,27.7,503.6666667,1001,0.005015051,0
23.6,27.7,483.1666667,1009.5,0.00499479,0
23.6,27.7225,483.5,1019,0.004998879,0
23.6,27.79,473,1021,0.005011149,0
23.6,27.85666667,470.3333333,1024.666667,0.005023268,0
23.6,27.80428571,480.1428571,1030.428571,0.005013746,0
23.575,27.79,464,1026.25,0.005003545,0
23.54,27.81,474.4,1028,0.004996538,0
23.6,27.978,470,1034.8,0.005045325,0
23.525,28,454,1055.5,0.005026367,0
23.5,27.978,454,1055.25,0.00501476,0
23.5,28,454,1050,0.005018735,0
23.5,28,454,1051.25,0.005018735,0
23.5,28,445,1053.6,0.005018735,0
23.5,28,439,1055.5,0.005018735,0
23.5,28.025,444.25,1055,0.005023252,0
23.445,28.125,454.75,1059.5,0.005024491,0
23.39,28.18,455.8,1060,0.005017582,0
23.39,28.2,451.6,1073.6,0.005021172,0
23.39,28.2,451.6,1078.6,0.005021172,0
23.39,28.2,454.75,1081,0.005021172,0
23.39,28.2225,454.75,1082,0.005025211,0
23.39,28.37333333,457.5,1088.833333,0.005052286,0
23.37,28.39,464,1090.6,0.00504913,0
20.6,24.08333333,413,507.3333333,0.003608936,0
20.6,24.1,414.6,514.6,0.003611448,0
20.6,24.175,407.5,522.25,0.003622752,0
20.6,24.2,406.6,525.6,0.003626521,0
20.6,24.2,399.5,528,0.003626521,0
20.956,25.39,444,717.8,0.003890816,0
21,25.39,444,720.75,0.003901421,0
21,25.412,444,721.4,0.003904823,0
21,25.39,444,718,0.003901421,0
21,25.35666667,444,715.5,0.003896267,0
21,25.29,447.2,713,0.003885959,0
21,25.29,456.8,714.8,0.003885959,0
21.215,25.29166667,462.3333333,773.8333333,0.003938201,0
21.2,25.29,464,777.75,0.003934293,0
22.2,26,608.25,946,0.004302279,0
22.29,25.96333333,606.6666667,950.3333333,0.004319939,0
23.39,28.32333333,464,1086,0.00504331,1
23.37333333,28.445,464,1092.5,0.005060017,1
23.39,28.5,471.5,1103.75,0.005075025,1
23.32333333,28.5,475.6666667,1104.5,0.005054476,1
23.365,28.5,471.5,1103.5,0.00506731,1
23.29,28.5,467.75,1112,0.005044229,1
23.30666667,28.53333333,466.5,1105.666667,0.005055304,1
23.29,28.7,464,1104,0.005079916,1
23.29,28.7,467,1117.2,0.005079916,1
23.29,28.675,467.75,1121.25,0.005075455,1
23.29,28.61666667,466.5,1115.666667,0.005065046,1
23.29,28.66,459,1120,0.005072779,1
23.29,28.55,464,1123.75,0.005053151,1
23.29,28.6,470,1116,0.005062072,1
23.272,28.6,464,1126.8,0.005056527,1
23.2,28.4175,464,1112.75,0.005002016,1
23.23,28.5,449,1104.5,0.005025831,1
23.29,28.5,464,1108,0.005044229,1
23.215,28.63333333,462.3333333,1127.833333,0.005044923,1
23.2,28.6,469,1128.75,0.005034399,1
23.2,28.65,469,1124.25,0.005043272,1
23.2,28.62,469,1130.4,0.005037948,1
23.2,28.7,464,1138,0.005052145,1
23.2,28.7,456.5,1144,0.005052145,1
23.2,28.718,457,1140,0.005055339,1
23.2,28.79,450.25,1139.25,0.005068117,1
23.2,28.79,446,1167.333333,0.005068117,1
23.14,28.79,451.6,1159.6,0.005049618,1
23.15,28.89,454.75,1157.75,0.005070391,1
23.15,28.89,448,1159.5,0.005070391,1
23.18,28.83,444,1156.4,0.005069034,1
23.11666667,28.945,444,1160,0.005069809,1
23.14,28.956,444,1169.8,0.005078972,1
23.1,29,444,1176.166667,0.005074362,1
23.1,29.075,444,1175.25,0.005087593,1
23.1,28.918,444,1166.6,0.005059897,1
23.1,27.925,444,1140.25,0.004884784,1
23.06,27.772,444,1089.2,0.004845979,1
23.02,27.556,435,1042.6,0.004796284,1
23.01,27.81883333,432,1051.1,0.004839435,1
23,28.08166667,429,1059.6,0.004882538,1
23,27.956,429,1064.6,0.004860518,1
22.98166667,27.90833333,429,1061.666667,0.004846741,1
23,27.92666667,429,1058.333333,0.004855378,1
23,28.018,429,1061.6,0.004871382,1
22.98166667,28.06666667,429,1070.333333,0.004874454,1
22.945,28.1,429,1074,0.004869381,1
23,28.1,429,1086.25,0.004885751,1
22.956,28.2,429,1089.6,0.004890128,1
22.9725,28.1,429,1085,0.00487756,1
22.945,28.13333333,429,1085,0.004875203,1
23,28.2,429,1088,0.004903275,1
22.945,28.2,429,1091.75,0.004886846,1
23,28.13333333,429,1091.333333,0.004891592,1
22.912,28.1,429,1088.2,0.004859583,1
22.89,28.1,429,1087.5,0.00485306,1
22.89,27.956,432,1079.2,0.004827998,1
22.865,27.84,432.75,1077.25,0.004800476,1
22.87333333,27.68333333,439,1064.166667,0.004775684,1
22.87333333,27.6,429,1056.4,0.004761198,1
22.89,27.6,432.75,1043.6,0.004766045,1
22.815,27.445,432.75,1039.5,0.004717422,1
22.84,27.37333333,436.5,1028.666667,0.0047122,1
22.79,27.365,438,1020.4,0.00469639,1
22.79,27.2,444,1018,0.004667861,1
22.79,27.17142857,435.4285714,1015.142857,0.004662921,1
22.79,27.06666667,434,1006.333333,0.004644808,1
22.79,27.02,432,1002.6,0.00463674,1
22.772,26.934,438,993.2,0.004616793,1
22.76,26.82333333,439,983.3333333,0.004594315,1
22.7,26.754,432,976.2,0.004565583,1
22.7225,26.7,432.75,980.75,0.004562569,1
22.7,26.68333333,434,971.3333333,0.004553435,1
22.7,26.53333333,444,966.6666667,0.004527652,1
22.7,26.46333333,444,963,0.00451562,1
22.7,26.445,441.5,952.3333333,0.004512469,1
22.7,26.34,444,948,0.004494423,1
22.7,26.26,444,945,0.004480674,1
22.7,26.2,441,941.6,0.004470363,1
22.7,26.16,438,929.8,0.004463489,1
22.7,26.02,441,923.8,0.004439431,1
22.7,26.1,440.25,919,0.004453178,1
22.7,26,439,918.25,0.004435995,1
22.7,25.934,438,919.4,0.004424654,1
22.7,25.92666667,439,927.3333333,0.004423394,1
22.7,25.815,432.75,920.25,0.004404207,1
22.68,25.772,432,902.4,0.004391449,1
22.64,25.696,429,904.4,0.004367718,1
22.6,25.575,429,897,0.00433639,1
22.66666667,25.6,429,892,0.004358383,1
22.6,25.525,433.5,882.5,0.004327853,1
22.62,25.476,436.2,887.2,0.004324772,1
22.625,25.55,442.5,889.25,0.004338748,1
22.6,25.39,443.4,889.2,0.004304805,1
22.65,25.42,438,880.75,0.00432312,1
22.6,25.2675,442.5,868.75,0.004283893,1
22.6,25.218,439.8,861,0.004275443,1
22.6,25.2,439.8,860.6,0.00427237,1
